YearStart,YearEnd,LocationAbbr,LocationDesc,Class,Topic,Question,Data_Value,Data_Value_Alt,Sample_Size
2011,2011,AK,Alaska,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,27.4,27.4,3336
2011,2011,AK,Alaska,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,38.9,38.9,3336
2011,2011,AK,Alaska,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,22,22,3349
2011,2011,AL,Alabama,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,34.7,34.7,7304
2011,2011,AL,Alabama,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,32.6,32.6,7470
2011,2011,AL,Alabama,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,32,32,7304
2011,2011,AR,Arkansas,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,30.9,30.9,4527
2011,2011,AR,Arkansas,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,33.9,33.9,4527
2011,2011,AR,Arkansas,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,30.9,30.9,4449
2011,2011,AZ,Arizona,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,24.1,24.1,6197
2011,2011,AZ,Arizona,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,37.8,37.8,5981
2011,2011,AZ,Arizona,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,25.1,25.1,6150
2011,2011,CA,California,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,36.4,36.4,17088
2011,2011,CA,California,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,19.1,19.1,16927
2011,2011,CA,California,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,23.8,23.8,17088
2011,2011,CO,Colorado,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,16.5,16.5,12800
2011,2011,CO,Colorado,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,20.7,20.7,12976
2011,2011,CO,Colorado,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,35.4,35.4,12976
2011,2011,CT,Connecticut,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,24.5,24.5,6457
2011,2011,CT,Connecticut,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in no leisure-time physical activity,25.5,25.5,6588
2011,2011,CT,Connecticut,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have an overweight classification,35.2,35.2,6457
